X1,Name,judge_country,number,segment,skater,skater_country,TSS
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Virtue/Moir,CAN,85.1
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Virtue/Moir,CAN,83.5
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Virtue/Moir,CAN,83.3
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Virtue/Moir,CAN,81.5
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Virtue/Moir,CAN,84
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Virtue/Moir,CAN,82.9
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Virtue/Moir,CAN,84.1
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Virtue/Moir,CAN,82
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Virtue/Moir,CAN,84.3
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Papadakis/Cizeron,FRA,78.7
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Papadakis/Cizeron,FRA,83.2
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Papadakis/Cizeron,FRA,83.4
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Papadakis/Cizeron,FRA,82.1
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Papadakis/Cizeron,FRA,79.1
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Papadakis/Cizeron,FRA,81.4
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Papadakis/Cizeron,FRA,82.8
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Papadakis/Cizeron,FRA,82.4
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Papadakis/Cizeron,FRA,82.2
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Hubbell/Donohue,USA,77.9
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Hubbell/Donohue,USA,74.6
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Hubbell/Donohue,USA,78.5
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Hubbell/Donohue,USA,79.2
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Hubbell/Donohue,USA,77.3
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Hubbell/Donohue,USA,77.9
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Hubbell/Donohue,USA,77.1
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Hubbell/Donohue,USA,80.7
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Hubbell/Donohue,USA,77.5
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Shibutani/Shibutani,USA,76.5
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Shibutani/Shibutani,USA,76.4
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Shibutani/Shibutani,USA,80.1
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Shibutani/Shibutani,USA,78.9
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Shibutani/Shibutani,USA,79.1
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Shibutani/Shibutani,USA,74.8
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Shibutani/Shibutani,USA,79.6
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Shibutani/Shibutani,USA,77.5
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Shibutani/Shibutani,USA,76.4
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Capellini/Lanotte,ITA,74.3
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Capellini/Lanotte,ITA,74.3
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Capellini/Lanotte,ITA,79.2
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Capellini/Lanotte,ITA,77.8
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Capellini/Lanotte,ITA,79.1
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Capellini/Lanotte,ITA,75.3
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Capellini/Lanotte,ITA,78.4
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Capellini/Lanotte,ITA,75
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Capellini/Lanotte,ITA,76.2
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Bobrova/Soloviev,RUS,74.7
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Bobrova/Soloviev,RUS,77
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Bobrova/Soloviev,RUS,76.8
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Bobrova/Soloviev,RUS,75.6
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Bobrova/Soloviev,RUS,74.9
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Bobrova/Soloviev,RUS,77
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Bobrova/Soloviev,RUS,73.8
305,Sharon ROGERS,USA,8,2018 Olympic Games Ice Dance Short,Bobrova/Soloviev,RUS,72.3
515,Albert ZAYDMAN,ISR,9,2018 Olympic Games Ice Dance Short,Bobrova/Soloviev,RUS,75.5
386,Leanna CARON,CAN,1,2018 Olympic Games Ice Dance Short,Chock/Bates,USA,75.8
380,Maira ABASOVA,RUS,2,2018 Olympic Games Ice Dance Short,Chock/Bates,USA,72.5
1,Anastassiya MAKAROVA,UKR,3,2018 Olympic Games Ice Dance Short,Chock/Bates,USA,81.4
271,Christine HURTH,FRA,4,2018 Olympic Games Ice Dance Short,Chock/Bates,USA,77.5
488,Kaoru TAKINO,JPN,5,2018 Olympic Games Ice Dance Short,Chock/Bates,USA,75
36,Tanay OKZAN,TUR,6,2018 Olympic Games Ice Dance Short,Chock/Bates,USA,73.5
143,Walter ZUCCARO,ITA,7,2018 Olympic Games Ice Dance Short,Chock/Bates,USA,72.7
