"","name","country"
"1","Anastassiya MAKAROVA","UKR"
"2","Olga KOZHEMYAKINA","RUS"
"3","Yuriy GUSKOV","KAZ"
"4","Beth CRANE","CAN"
"5","Alexandre GOROJDANOV","BLR"
"6","Nicholas RUSSELL","GBR"
"7","Todd SAND","ISU"
"8","Reinhard MIRMSEKER","ISU"
"9","Simon BRIGGS","ISU"
"10","Peter DURNEV","ISU"
"11","Roland WEHINGER","SUI"
"12","Karin EHRHARDT","AUT"
"13","Xixia LIU","CHN"
"14","Jimmy YOUNG","ISU"
"15","Osman SIRVAN","TUR"
"16","Valerie LAMBERT","FRA"
"17","Claire SHEPHERD","GBR"
"18","Elisabeth LOUESDON","FRA"
"19","Dan FANG","CHN"
"20","David MOLINA","FRA"
"21","Laimute KRAUZIENE","LTU"
"22","Tomiko YAMADA","JPN"
"23","Tetsuo ABE","JPN"
"24","Robert J. HOREN","ISU"
"25","Prisca BINZ-MOSER","SUI"
"26","Irina MEDVEDEVA","AZE"
"27","Krunoslava CUMIC","ISU"
"28","Natalia LEBEDEVA","ISU"
"29","Kvetoslava MATEJOVA","SVK"
"30","Vladimir CUCHRAN","SVK"
"31","Anne G. SHEAN","USA"
"32","Thomas BIEGLER","AUT"
"33","Alexander KOENIG","ISU"
"34","Alexander KUZNETSOV","ISU"
"35","Igor ZAVOZIN","ARM"
"36","Tanay OZKAN","TUR"
"37","Olga KOZHEMIAKINA","RUS"
"38","David SANTEE","ISU"
"39","Agita ABELE","LAT"
"40","Leena LAAKSONEN","FIN"
"41","Rebecca ANDREW","AUS"
"42","David KIRBY","ISU"
"43","Alexander LAKERNIK","ISU"
"44","Hailan JIANG","CHN"
"45","Richard KOSINA","CZE"
"46","Garry HOPPE","GBR"
"47","Jarmila PORTOVA","CZE"
"48","Slobodan DELIC","GRE"
"49","Hilary SELBY","GBR"
"50","Ann FINDLAY","GBR"
"51","Odette COULSON","ISU"
"52","Richard GRAINGE","GBR"
"53","Anne FAGERSTROM","ISU"
"54","Julia SEMJONOVA","EST"
"55","Marketa HORKLOVA","CZE"
"56","Isabella MICHELI","ITA"
"57","Tsuguhiko KOZUKA","JPN"
"58","Roxane PETETIN","ISU"
"59","Igor PASHKEVICH","ISU"
"60","Raimo REINSALU","EST"
"61","Michela MALINGAMBI","ITA"
"62","Anna SIEROCKA","POL"
"63","Olga GILARDINI","ISU"
"64","John COLE","USA"
"65","Rita ZONNEKEYN","BEL"
"66","Jan HOFFMANN","GER"
"67","Ikuko ISHIKAWA","ISU"
"68","Helle CARLSEN","ISU"
"69","Sergei PONOMARENKO","ISU"
"70","Jiasheng YANG","CHN"
"71","Kristina HOUWING","SWE"
"72","Francoise DE RAPPARD","BEL"
"73","Mika SAARELAINEN","FIN"
"74","Josip CEROVAC","CRO"
"75","Galit CHAIT-MORACCI","ISU"
"76","Ayako HIGASHINO","ISU"
"77","Evgeny MARTYNOV","ISU"
"78","Hanna THEN","POL"
"79","Lorrie PARKER","USA"
"80","Antica GRUBISIC","CRO"
"81","Kylie Anne YACOPETTI","AUS"
"82","Jason DUNGJEN","ISU"
"83","Csaba BALINT","HUN"
"84","Dingding LIU","ISU"
"85","Andrea TRNKOVA-KUNCOVA","ISU"
"86","Ying ZHAO","CHN"
"87","You-Hwa LEE","KOR"
"88","Susanne WAHLSTROM","SWE"
"89","Ubavka KUTINOU-NOVAKOVIC","ISU"
"90","Daniela CAVELLI","ISU"
"91","Jana BAUDYSOVA","CZE"
"92","Teri SEDEJ","SLO"
"93","William S. SMITH","USA"
"94","Andre-Marc ALLAIN","CAN"
"95","Kelly CRUICKSHANK","ISU"
"96","Stefan GRAMPELHUBER","AUT"
"97","Yoshiko KOBAYASHI","JPN"
"98","Joanna MILLER","AUS"
"99","Reaghan FAWCETT","CAN"
"100","Lovorka KODRIN","ISU"
"101","David MOELLENKAMP","ISU"
"102","Lynne DEY","CAN"
"103","Helle LYNGBERG","ISU"
"104","Aniela HEBEL-SZMAK","POL"
"105","Anna KANTOR","ISR"
"106","Jozica PODBEVESEK","ISU"
"107","Akira YOSHIZAWA","JPN"
"108","Tatiana SHARKINA","RUS"
"109","Ekrem MALKOC","TUR"
"110","Zsofia KULCZAR","ISU"
"111","Valerie GREUGNY-HUART","FRA"
"112","Roger GLENN","USA"
"113","Eva MARTINEK","ISU"
"114","Sakiko OKANO","JPN"
"115","Doug WILLIAMS","USA"
"116","Valery MAKSAEV","ISU"
"117","Irina NECHKINA","AZE"
"118","Hermi OTTEMANN","ISU"
"119","Tatiana YORDANOVA","BUL"
"120","Zoltan JANOSI","ISU"
"121","Kari-Anne OLSEN","NOR"
"122","John MILLIER","USA"
"123","Daniel DE PAIX DE COEUR","FRA"
"124","Shawn RETTSTATT","USA"
"125","Szilard TOTH","HUN"
"126","Evelyn ROSSOUKHI-SCHNEIDER","ISU"
"127","Adriana ORDEANU","ROM"
"128","Agnes MORVAI-KOVECSES","HUN"
"129","Kadi ZVIRIK","EST"
"130","Mariusz SIUDEK","ISU"
"131","Etsuko AZUMA","JPN"
"132","Jodi ABBOTT","CAN"
"133","Alexandra FORD","AUS"
"134","Richard DALLEY","USA"
"135","Deborah NOYES","AUS"
"136","Marjo KANKAANRANTA","FIN"
"137","Nadezhda PARETSKAIA","KAZ"
"138","Janet COTON","GBR"
"139","Neil GARRARD","ZAF"
"140","Francois WAITZMAN","FRA"
"141","Marion KRIJGSMAN","ISU"
"142","Steve MUFF","ISU"
"143","Walter ZUCCARO","ITA"
"144","Lisa ERVIN-BAUDO","ISU"
"145","Martin PAULMICHL","ISU"
"146","Ricardo OLAVARRIETA","ISU"
"147","Ulla FAIG","GER"
"148","Kitty DELIO-LAFORTE","USA"
"149","Kyung-Won SAKONG","KOR"
"150","Vladimir PETRENKO","ISU"
"151","Yu WANG","CHN"
"152","Ted BARTON","ISU"
"153","Vanessa RILEY","ISU"
"154","Igor DOLGUSHIN","RUS"
"155","Judy BLUMBERG","ISU"
"156","Angelique CLYDE-SMITH","AUS"
"157","Mieko FUJIMORI","JPN"
"158","Alan BLINN","AUS"
"159","Emilie BILLOW","SWE"
"160","Jia YAO","CHN"
"161","Rolf PIPOH","GER"
"162","Thomas RAUER","ISU"
"163","Virpi KUNNAS-HELMINEN","FIN"
"164","Birgit FOELL","ISU"
"165","Raisa GAGARINA","UZB"
"166","Margo PAUW","ISU"
"167","Meiko SASAKI","JPN"
"168","Ann SHAW","CAN"
"169","Nobuhiko YOSHIOKA","JPN"
"170","Peter RANKIN","AUS"
"171","Denis SAMOKHIN","ISU"
"172","Ariadna MORONES NEGRETE","MEX"
"173","Camilla FREDMAN","SWE"
"174","Magdalena RUSIECKA","POL"
"175","Claudia FASSORA","SUI"
"176","Laura MCNAIR","ISU"
"177","Coco SHEAN","ISU"
"178","Lorenzo MAGRI","ISU"
"179","Ann HARDY-THOMAS","ISU"
"180","Eugen LARASSER","ISU"
"181","Jamie MCGRIGOR","ISU"
"182","Sissy KRICK","GER"
"183","Leslie KEEN","CAN"
"184","Andrea DERBY","CAN"
"185","Peeter LAUR","ISU"
"186","Raia BISSEROVA-BAKALOVA","BUL"
"187","Anja RIST","GER"
"188","Nicole ENDRESS","ISU"
"189","Beatrice PFISTER","SUI"
"190","Rock LEMAY","ISU"
"191","Jean SENFT","CAN"
"192","Angelo DOLFINI","ISU"
"193","Yoko KUNO","JPN"
